Gene_1	Gene_2
Q0045	YDR300C
Q0045	YEL047C
Q0045	YJR148W
Q0045	YKL141W
Q0045	YKL216W
Q0045	YLR142W
Q0045	YLR348C
Q0045	YOR323C
Q0045	YPL262W
snR6	YMR213W
snR7-L	YER172C
snR7-L	YER172C
tE(CUC)D	YGL211W
tE(CUC)D	YPL086C
tE(CUC)I	YGL211W
tE(CUC)I	YPL086C
TLC1	YDL220C
TLC1	YML061C
TLC1	YMR284W
TLC1	YOR033C
tL(UAG)J	tL(UAG)L1
tL(UAG)J	tL(UAG)L2
tL(UAG)L1	tL(UAG)J
tL(UAG)L1	tL(UAG)L2
tL(UAG)L2	tL(UAG)J
tL(UAG)L2	tL(UAG)L1
tQ(CUG)M	YGL211W
tQ(CUG)M	YPL086C
tR(CCG)L	YDL051W
tS(CGA)C	YDL051W
tS(CGA)C	YPL086C
tT(CGU)K	YPL086C
YAL001C	YER095W
YAL002W	YCL043C
YAL002W	YGR002C
YAL002W	YLR039C
YAL002W	YLR262C
YAL002W	YNL206C
YAL002W	YOR244W
YAL003W	YDR170C
YAL003W	YGL086W
YAL003W	YGL233W
YAL003W	YLR418C
YAL003W	YMR190C
YAL005C	YER103W
YAL005C	YLL024C
YAL005C	YLL024C
YAL005C	YLL024C
YAL005C	YLR212C
YAL005C	YLR305C
YAL005C	YNL064C
YAL008W	YGR274C
YAL009W	YBR164C
YAL009W	YDL116W
YAL009W	YDL116W
YAL009W	YDL116W
YAL009W	YDL192W
YAL009W	YDR080W
YAL009W	YDR233C
YAL009W	YDR484W
YAL009W	YGL054C
YAL009W	YGL247W
YAL009W	YJL004C
YAL009W	YJL154C
YAL009W	YLR039C
YAL009W	YLR262C
YAL009W	YML071C
YAL009W	YML103C
YAL009W	YNL041C
YAL009W	YPL051W
YAL009W	YPR028W
YAL010C	YGR132C
YAL010C	YGR132C
YAL010C	YGR231C
YAL010C	YHR194W
YAL010C	YOR147W
YAL011W	YBR175W
YAL011W	YDL074C
YAL011W	YDL074C
YAL011W	YDR359C
YAL011W	YDR392W
YAL011W	YDR469W
YAL011W	YEL003W
YAL011W	YEL018W
YAL011W	YFL024C
YAL011W	YGL058W
YAL011W	YGL058W
YAL011W	YGL086W
YAL011W	YGL127C
YAL011W	YGL194C
YAL011W	YGL244W
YAL011W	YGR002C
YAL011W	YGR078C
YAL011W	YGR188C
YAL011W	YGR274C
YAL011W	YHR090C
YAL011W	YHR191C
YAL011W	YJL030W
YAL011W	YJL081C
YAL011W	YJL127C
YAL011W	YJL168C
YAL011W	YJL168C
YAL011W	YLR015W
YAL011W	YLR039C
YAL011W	YLR055C
YAL011W	YLR055C
YAL011W	YLR200W
YAL011W	YLR262C
YAL011W	YLR418C
YAL011W	YLR418C
YAL011W	YLR418C
YAL011W	YML124C
YAL011W	YMR055C
YAL011W	YMR168C
YAL011W	YMR263W
YAL011W	YMR263W
YAL011W	YNL097C
YAL011W	YNL136W
YAL011W	YNL153C
YAL011W	YNL330C
YAL011W	YOL004W
YAL011W	YOR026W
YAL011W	YOR046C
YAL011W	YOR123C
YAL011W	YOR244W
YAL011W	YOR349W
YAL011W	YPL055C
YAL011W	YPL055C
YAL011W	YPL138C
YAL011W	YPL181W
YAL011W	YPL241C
YAL012W	YGR002C
YAL012W	YJL127C
YAL013W	YAL024C
YAL013W	YBR103W
YAL013W	YCR009C
YAL013W	YCR033W
YAL013W	YDL029W
YAL013W	YDL029W
YAL013W	YDL040C
YAL013W	YDL080C
YAL013W	YDR212W
YAL013W	YDR334W
YAL013W	YDR388W
YAL013W	YDR392W
YAL013W	YDR485C
YAL013W	YER016W
YAL013W	YER016W
YAL013W	YER139C
YAL013W	YGL020C
YAL013W	YGL127C
YAL013W	YGL194C
YAL013W	YGR105W
YAL013W	YGR181W
YAL013W	YGR200C
YAL013W	YGR274C
YAL013W	YHR041C
YAL013W	YHR060W
YAL013W	YHR178W
YAL013W	YHR200W
YAL013W	YHR209W
YAL013W	YJL168C
YAL013W	YKL117W
YAL013W	YKR029C
YAL013W	YLR085C
YAL013W	YLR085C
YAL013W	YLR087C
YAL013W	YLR384C
YAL013W	YLR418C
YAL013W	YLR418C
YAL013W	YML041C
YAL013W	YML047C
YAL013W	YMR060C
YAL013W	YMR312W
YAL013W	YNL192W
YAL013W	YNL206C
YAL013W	YNL215W
YAL013W	YNL250W
YAL013W	YNL298W
YAL013W	YOL012C
YAL013W	YOL012C
YAL013W	YPL086C
YAL013W	YPL101W
YAL013W	YPL174C
YAL013W	YPL174C
YAL013W	YPL240C
YAL015C	YKL114C
YAL015C	YKL114C
YAL015C	YLL002W
YAL015C	YMR201C
YAL015C	YOL043C
YAL015C	YOL043C
YAL015C	YPL022W
YAL016W	YGR274C
YAL016W	YIL153W
YAL016W	YPL152W
YAL016W	YPL180W
YAL019W	YBR060C
YAL019W	YLR039C
YAL019W	YLR262C
YAL019W	YNL261W
YAL020C	YBL071W-A
YAL020C	YCL043C
YAL020C	YNL271C
YAL020C	YNL271C
YAL021C	YAL040C
YAL021C	YBL032W
YAL021C	YBR089C-A
YAL021C	YBR136W
YAL021C	YBR279W
YAL021C	YBR279W
YAL021C	YCR077C
YAL021C	YCR086W
YAL021C	YCR093W
YAL021C	YCR093W
YAL021C	YCR093W
YAL021C	YDL013W
YAL021C	YDL040C
YAL021C	YDL040C
YAL021C	YDL140C
YAL021C	YDL165W
YAL021C	YDR138W
YAL021C	YDR293C
YAL021C	YDR323C
YAL021C	YDR359C
YAL021C	YDR369C
YAL021C	YDR369C
YAL021C	YDR378C
YAL021C	YDR388W
YAL021C	YDR392W
YAL021C	YDR439W
YAL021C	YDR484W
YAL021C	YEL007W
YAL021C	YER016W
YAL021C	YER068W
YAL021C	YER068W
YAL021C	YER070W
YAL021C	YER095W
YAL021C	YER111C
YAL021C	YER148W
YAL021C	YER165W
YAL021C	YGL043W
YAL021C	YGL058W
YAL021C	YGL127C
YAL021C	YGL163C
YAL021C	YGL178W
YAL021C	YGL207W
YAL021C	YGR002C
YAL021C	YGR104C
YAL021C	YGR180C
YAL021C	YGR252W
YAL021C	YGR274C
YAL021C	YHR013C
YAL021C	YHR013C
YAL021C	YHR041C
