Abbreviation	GPR
r_0001	(((YDL174C) and (YEL039C)) or ((YDL174C) and (YJR048W)) or ((YEL039C) and (YEL071W)) or ((YEL071W) and (YJR048W)))
r_0002	(((YDL178W) and (YEL039C)) or ((YDL178W) and (YJR048W)))
r_0003	(YAL060W)
r_0004	(((YEL039C) and (YML054C)) or ((YJR048W) and (YML054C)))
r_0005	((YGR032W) or (YLR342W))
r_0006	(YEL011W)
r_0007	((YGR143W) or (YPR159W))
r_0008	(YIL020C)
r_0009	(YDL052C)
r_0010	(YFR019W)
r_0011	(YFR019W)
r_0012	
r_0013	((YEL038W) and (YMR009W))
r_0014	(YOL066C)
r_0015	(YBR153W)
r_0016	((YCL009C) and (YMR108W))
r_0017	(YNL256W)
r_0018	
r_0019	(YHR063C)
r_0020	(YLR355C)
r_0021	(YDR035W)
r_0022	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))
r_0023	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))
r_0024	
r_0025	(YGL009C)
r_0026	((YNL104C) or (YOR108W))
r_0027	(YNL104C)
r_0028	
r_0029	(YDR234W)
r_0030	(YPR001W)
r_0031	(YJR148W)
r_0032	(YHR208W)
r_0033	
r_0034	(YOL064C)
r_0035	((YGL248W) or (YOR360C))
r_0036	(YOR360C)
r_0037	(YOR360C)
r_0038	(YOR360C)
r_0039	(YOR360C)
r_0040	(YDR487C)
r_0041	
r_0042	(YDR127W)
r_0043	(YDR127W)
r_0044	(YBR265W)
r_0045	((YBR249C) or (YDR035W))
r_0046	
r_0047	
r_0048	(YLR231C)
r_0049	(YKR009C)
r_0050	(YKR009C)
r_0051	(YKR009C)
r_0052	(YKR009C)
r_0053	(YKR009C)
r_0054	(YKR009C)
r_0055	(YKR009C)
r_0056	(YKR009C)
r_0057	(YKR009C)
r_0058	(YKR009C)
r_0059	(YKR009C)
r_0060	(YKR009C)
r_0061	(YJR025C)
r_0062	(YER175C)
r_0063	(YGL009C)
r_0064	(YCL018W)
r_0065	((YGR087C) or (YLR044C) or (YLR134W))
r_0066	(YBR176W)
r_0067	((YDL080C) or (YDR380W) or (YGR087C) or (YLR044C) or (YLR134W))
r_0068	(YDR127W)
r_0069	
r_0070	(YNR033W)
r_0071	
r_0072	(YMR289W)
r_0073	(YGR019W)
r_0074	(YCR053W)
r_0075	
r_0076	
r_0077	
r_0078	((YDL080C) or (YDR380W))
r_0079	((YLR410W) or (YOR163W))
r_0080	(YDR017C)
r_0081	(YLR017W)
r_0082	
r_0083	(YGL224C)
r_0084	
r_0085	
r_0086	
r_0087	
r_0088	
r_0089	
r_0090	(YOR155C)
r_0091	(YGL224C)
r_0092	
r_0093	(YGL125W)
r_0094	(YDR232W)
r_0095	(YOR163W)
r_0096	(YDR017C)
r_0097	(YER183C)
r_0098	
r_0099	
r_0100	(YER091C)
r_0101	
r_0102	
r_0103	(YLR410W)
r_0104	(YLR410W)
r_0105	((YIL107C) or (YOL136C))
r_0106	((YCR073W-A) or (YGR248W) or (YHR163W) or (YNR034W))
r_0107	((YLR410W) or (YOR163W))
r_0108	(YDR017C)
r_0109	
r_0110	((YGR087C) or (YLR044C) or (YLR134W))
r_0111	(YLR355C)
r_0112	((YCL009C) and (YMR108W))
r_0113	((YKL182W) and (YPL231W))
r_0114	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))
r_0115	(YIL160C)
r_0116	(YIL160C)
r_0117	(YIL160C)
r_0118	(YPL028W)
r_0119	(YPL028W)
r_0120	(YIL160C)
r_0121	(YIL160C)
r_0122	(YIL160C)
r_0123	(YMR207C)
r_0124	(YNR016C)
r_0125	(YBL015W)
r_0126	(YBL015W)
r_0127	((YAL054C) or (YLR153C))
r_0128	(YAL054C)
r_0129	(YLR153C)
r_0130	(YER069W)
r_0131	((YAR071W) or (YBR093C))
r_0132	(YPR002W)
r_0133	(YOL140W)
r_0134	(YPL148C)
r_0135	(YGL205W)
r_0136	(YGL205W)
r_0137	(YGL205W)
r_0138	(YGL205W)
r_0139	(YGL205W)
r_0140	(YGL205W)
r_0141	(YCR048W)
r_0142	((YCR048W) or (YNR019W))
r_0143	(YCR048W)
r_0144	(YCR048W)
r_0145	(YCR048W)
r_0146	(YCR048W)
r_0147	((YCR048W) or (YNR019W))
r_0148	(YCR048W)
r_0149	(YCR048W)
r_0150	(YCR048W)
r_0151	(YLR118C)
r_0152	(YJL091C)
r_0153	(YNL141W)
r_0154	(YML022W)
r_0155	(YNL141W)
r_0156	(YDR400W)
r_0157	(YJR105W)
r_0158	(YML035C)
r_0159	(YER043C)
r_0160	(YOL052C)
r_0161	(YNR058W)
r_0162	(YJL005W)
r_0163	(YDR226W)
r_0164	(YER170W)
r_0165	(YDR226W)
r_0166	(YER170W)
r_0167	(YDR226W)
r_0168	(YER170W)
r_0169	(YLR359W)
r_0170	(YNL220W)
r_0171	(YLR359W)
r_0172	(YKL001C)
r_0173	(YGR247W)
r_0174	(YFL030W)
r_0175	(YOR335C)
r_0176	((YGR177C) or (YOR377W))
r_0177	((YGR177C) or (YOR377W))
r_0178	((YGR177C) or (YOR377W))
r_0179	((YGR177C) or (YOR377W))
r_0180	((YGR177C) or (YOR377W))
r_0181	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0182	((YDR368W) or (YHR104W))
r_0183	(YMR083W)
r_0184	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0185	(YMR083W)
r_0186	((YBR036C) or (YCR105W) or (YDR368W) or (YMR318C))
r_0187	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0188	(YMR083W)
r_0189	((YBR036C) or (YCR105W) or (YMR318C))
r_0190	((YMR169C) or (YMR170C))
r_0191	(YPL061W)
r_0192	(YOR374W)
r_0193	((YER073W) or (YOR374W))
r_0194	(YOR374W)
r_0195	(YPL061W)
r_0196	((YER073W) or (YOR374W))
r_0197	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0198	(YMR083W)
r_0199	((YBR036C) or (YCR105W) or (YMR318C))
r_0200	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0201	(YMR083W)
r_0202	((YBR036C) or (YCR105W) or (YMR318C))
r_0203	((YMR169C) or (YMR170C))
r_0204	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))
r_0205	(YMR083W)
r_0206	(YDR481C)
r_0207	(YIR029W)
r_0208	(YIR027C)
r_0209	(YBR208C)
r_0210	((YBR205W) or (YDR483W) or (YJL139C) or (YKR061W) or (YOR099W))
r_0211	(YDR001C)
r_0212	(YPR026W)
r_0213	((YBR126C) and (YML100W) and (YMR261C))
r_0214	(YGR227W)
