abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(1) s_0028 + (2) s_0679 <==> (2) s_0680 + (1) s_1277	reversible	NA	0	1000	0	(((YDL174C) and (YEL039C)) or ((YDL174C) and (YJR048W)) or ((YEL039C) and (YEL071W)) or ((YEL071W) and (YJR048W)))	
r_0003	(R,R)-butanediol dehydrogenase	(1) s_0038 + (1) s_1082 <==> (1) s_0023 + (1) s_0763_b + (1) s_1087	reversible	NA	-1000	1000	0	(YAL060W)	
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(2) s_0679 + (1) s_0066 <==> (2) s_0680 + (1) s_1277	reversible	NA	0	1000	0	(((YEL039C) and (YML054C)) or ((YJR048W) and (YML054C)))	
r_0005	1,3-beta-glucan synthase	(1) s_1415 <==> (1) s_0763_b + (1) s_0001 + (1) s_1411	reversible	NA	0	1000	0	((YGR032W) or (YLR342W))	
r_0006	1,4-alpha-glucan branching enzyme	(1) s_0438 <==> (1) s_0743 + (1) s_1434_b	reversible	NA	0	1000	0	(YEL011W)	
r_0007	1,6-beta-glucan synthase	(1) s_1415 <==> (1) s_0763_b + (1) s_1411 + (1) s_0004	reversible	NA	0	1000	0	((YGR143W) or (YPR159W))	
r_0008	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	(1) s_0079 <==> (1) s_0315	reversible	NA	0	1000	0	(YIL020C)	
r_0009	1-acyl-sn-gylcerol-3-phosphate acyltransferase	(1) s_0083 + (1) s_0386 <==> (4) s_0763_b + (1) s_0514 + (1) s_1215	reversible	NA	-1000	1000	0	(YDL052C)	
r_0010	1-phosphatidylinositol-3-phosphate 5-kinase	(1) s_0763_b + (1) s_0102 + (1) s_0446 <==> (1) s_0097 + (1) s_0400	reversible	NA	-1000	1000	0	(YFR019W)	
r_0011	1-phosphatidylinositol-3-phosphate 5-kinase	(1) s_0102 + (1) s_0446 <==> (1) s_0097 + (1) s_0400	reversible	NA	0	1000	0	(YFR019W)	
r_0012	1-pyrroline-5-carboxylate dehydrogenase	(1) s_1082 + (2) s_1434_b + (1) s_0120 <==> (1) s_0763_b + (1) s_1087 + (1) s_0899	reversible	NA	0	1000	0		
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	(3) s_1434_b + (1) s_0314 <==> (6) s_0763_b + (1) s_0300 + (1) s_0689 + (1) s_1207	reversible	NA	0	1000	0	((YEL038W) and (YMR009W))	
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	(1) s_0763_b + (1) s_1434_b + (1) s_0146 <==> (1) s_0319 + (1) s_0430	reversible	NA	0	1000	0	(YOL066C)	
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	(1) s_0763_b + (1) s_0145 + (1) s_1096 <==> (1) s_0146 + (1) s_1091	reversible	NA	0	1000	0	(YBR153W)	
r_0016	2-aceto-2-hydroxybutanoate synthase	(1) s_1277 + (1) s_0763_b + (1) s_0183 <==> (1) s_0042 + (1) s_0470	reversible	NA	0	1000	0	((YCL009C) and (YMR108W))	
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	(1) s_0446 + (1) s_0152 <==> (1) s_0763_b + (1) s_0005 + (1) s_0434	reversible	NA	0	1000	0	(YNL256W)	
r_0018	2-aminoadipate transaminase	(1) s_0899 + (1) s_0181 <==> (1) s_0185 + (1) s_0861	reversible	NA	-1000	1000	0		
r_0019	2-dehydropantoate 2-reductase	(1) s_0763_b + (1) s_1096 + (1) s_0153 <==> (1) s_1091 + (1) s_0032	reversible	NA	0	1000	0	(YHR063C)	
r_0021	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	(1) s_1434_b + (1) s_0533 + (1) s_1243 <==> (1) s_1207 + (1) s_0356	reversible	NA	0	1000	0	(YDR035W)	
r_0022	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	(1) s_0160 + (1) s_1293 <==> (1) s_0763_b + (1) s_0161 + (1) s_1290	reversible	NA	0	1000	0	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0023	2-hexaprenyl-6-methoxyphenol monooxygenase	(1) s_0162 + (1) s_1160 <==> (1) s_1434_b + (1) s_0160	reversible	NA	0	1000	0	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0024	2-hydroxybutyrate:NAD+ oxidoreductase	(1) s_1082 + (1) s_0164 <==> (1) s_0763_b + (1) s_1087 + (1) s_0183	reversible	NA	-1000	1000	0		
r_0025	2-isopropylmalate hydratase	(1) s_1434_b + (1) s_0170 <==> (1) s_0167	reversible	NA	-1000	1000	0	(YGL009C)	
r_0026	2-isopropylmalate synthase	(1) s_1434_b + (1) s_0238 + (1) s_0380 <==> (1) s_0763_b + (1) s_0514 + (1) s_0167	reversible	NA	0	1000	0	((YNL104C) or (YOR108W))	
r_0028	2-keto-4-methylthiobutyrate transamination	(1) s_0899 + (1) s_0300 <==> (1) s_0185 + (1) s_0933	reversible	NA	0	1000	0		
r_0029	2-methylcitrate dehydratase	(1) s_0798 <==> (1) s_1434_b + (1) s_0468	reversible	NA	-1000	1000	0	(YDR234W)	
r_0030	2-methylcitrate synthase	(1) s_1434_b + (1) s_1156 + (1) s_1261 <==> (1) s_0763_b + (1) s_0514 + (1) s_0179	reversible	NA	0	1000	0	(YPR001W)	
r_0031	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(1) s_0763_b + (1) s_0010 <==> (1) s_0470 + (1) s_0297	reversible	NA	0	1000	0	(YJR148W)	
r_0033	2-oxobutanoate dehydrogenase	(1) s_1082 + (1) s_0514 + (1) s_0183 <==> (1) s_1087 + (1) s_0470 + (1) s_1261	reversible	NA	0	1000	0		
r_0034	3',5'-bisphosphate nucleotidase	(1) s_1434_b + (1) s_0397 <==> (1) s_1207 + (1) s_0434	reversible	NA	0	1000	0	(YOL064C)	
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	(1) s_1434_b + (1) s_0197 <==> (1) s_0763_b + (1) s_0434	reversible	NA	0	1000	0	((YGL248W) or (YOR360C))	
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	(1) s_1434_b + (1) s_0199 <==> (1) s_0763_b + (1) s_0564	reversible	NA	0	1000	0	(YOR360C)	
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	(1) s_1434_b + (1) s_0201 <==> (1) s_0763_b + (1) s_0816	reversible	NA	0	1000	0	(YOR360C)	
r_0038	3',5'-cyclic-nucleotide phosphodiesterase	(1) s_1434_b + (1) s_0200 <==> (1) s_0763_b + (1) s_0752	reversible	NA	0	1000	0	(YOR360C)	
r_0039	3',5'-cyclic-nucleotide phosphodiesterase	(1) s_1434_b + (1) s_0198 <==> (1) s_0763_b + (1) s_0511	reversible	NA	0	1000	0	(YOR360C)	
r_0040	3,4-dihydroxy-2-butanone-4-phosphate synthase	(1) s_0557 <==> (1) s_0763_b + (1) s_0689 + (1) s_0163	reversible	NA	0	1000	0	(YDR487C)	
