abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0001	(1) s_0028 + (2) s_0679 -> (2) s_0680 + (1) s_1277	irreversible	NA	  0.00	1000.00	  0.00	(((YDL174C) and (YEL039C)) or ((YDL174C) and (YJR048W)) or ((YEL039C) and (YEL071W)) or ((YEL071W) and (YJR048W)))	
r_0002	(2) s_0679 + (1) s_0030 -> (2) s_0680 + (1) s_1279	irreversible	NA	  0.00	1000.00	  0.00	(((YDL178W) and (YEL039C)) or ((YDL178W) and (YJR048W)))	
r_0003	(1) s_0038 + (1) s_1082 <-> (1) s_0023 + (1) s_1087	reversible	NA	-1000.00	1000.00	  0.00	(YAL060W)	
r_0004	(2) s_0679 + (1) s_0066 -> (2) s_0680 + (1) s_1277	irreversible	NA	  0.00	1000.00	  0.00	(((YEL039C) and (YML054C)) or ((YJR048W) and (YML054C)))	
r_0005	(1) s_1415 -> (1) s_0001 + (1) s_1411	irreversible	NA	  0.00	1000.00	  0.00	((YGR032W) or (YLR342W))	
r_0006	(1) s_0438 -> (1) s_0743	irreversible	NA	  0.00	1000.00	  0.00	(YEL011W)	
r_0007	(1) s_1415 -> (1) s_1411 + (1) s_0004	irreversible	NA	  0.00	1000.00	  0.00	((YGR143W) or (YPR159W))	
r_0008	(1) s_0079 -> (1) s_0315	irreversible	NA	  0.00	1000.00	  0.00	(YIL020C)	
r_0009	(1) s_0083 + (1) s_0386 <-> (1) s_0515 + (1) s_1217	reversible	NA	-1000.00	1000.00	  0.00	(YDL052C)	
r_0010	(1) s_0106 + (1) s_0452 <-> (1) s_0101 + (1) s_0406	reversible	NA	-1000.00	1000.00	  0.00	(YFR019W)	
r_0011	(1) s_0102 + (1) s_0446 -> (1) s_0097 + (1) s_0400	irreversible	NA	  0.00	1000.00	  0.00	(YFR019W)	
r_0012	(1) s_0121 + (1) s_1084 -> (1) s_0901 + (1) s_1089	irreversible	NA	  0.00	1000.00	  0.00		
r_0013	(1) s_0314 -> (1) s_0300 + (1) s_0689 + (1) s_1207	irreversible	NA	  0.00	1000.00	  0.00	((YEL038W) and (YMR009W))	
r_0014	(1) s_0146 -> (1) s_0319 + (1) s_0430	irreversible	NA	  0.00	1000.00	  0.00	(YOL066C)	
r_0015	(1) s_0145 + (1) s_1096 -> (1) s_0146 + (1) s_1091	irreversible	NA	  0.00	1000.00	  0.00	(YBR153W)	
r_0016	(1) s_1279 + (1) s_0184 -> (1) s_0042 + (1) s_0474	irreversible	NA	  0.00	1000.00	  0.00	((YCL009C) and (YMR108W))	
r_0017	(1) s_0152 + (1) s_0449 -> (1) s_0005 + (1) s_0435	irreversible	NA	  0.00	1000.00	  0.00	(YNL256W)	
r_0018	(1) s_0181 + (1) s_0899 <-> (1) s_0185 + (1) s_0861	reversible	NA	-1000.00	1000.00	  0.00		
r_0019	(1) s_1096 + (1) s_0153 -> (1) s_1091 + (1) s_0032	irreversible	NA	  0.00	1000.00	  0.00	(YHR063C)	
