ID	NAME	!Location	!Charge	!IsConstant	!InitialConcentration	!hasOnlySubstanceUnits
s_0001	(1->3)-beta-D-glucan [intracellular]	intracellular	0	False	0	False
s_0004	(1->6)-beta-D-glucan [intracellular]	intracellular	0	False	0	False
s_0005	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [intracellular]	intracellular	0	False	0	False
s_0006	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [intracellular]	intracellular	0	False	0	False
s_0007	(2R,3R)-2,3-dihydroxy-3-methylpentanoate [intracellular]	intracellular	0	False	0	False
s_0008	(2R,3S)-3-isopropylmalate(2-) [intracellular]	intracellular	0	False	0	False
s_0009	(2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamido]succinic acid [intracellular]	intracellular	0	False	0	False
s_0010	(2S)-2-isopropyl-3-oxosuccinate(2-) [intracellular]	intracellular	0	False	0	False
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [intracellular]	intracellular	0	False	0	False
s_0013	(5S,6S)-di-HETE [intracellular]	intracellular	0	False	0	False
s_0015	(6R)-5,10-methenyltetrahydrofolic acid [intracellular]	intracellular	0	False	0	False
s_0017	(N(omega)-L-arginino)succinic acid [intracellular]	intracellular	0	False	0	False
s_0018	(R)-2,3-dihydroxy-3-methylbutanoate [intracellular]	intracellular	0	False	0	False
s_0019	(R)-3-hydroxy-2-oxo-4-phosphonooxybutanoic acid [intracellular]	intracellular	0	False	0	False
s_0020	(R)-4'-phosphopantothenic acid [intracellular]	intracellular	0	False	0	False
s_0021	(R)-5-diphosphomevalonic acid [intracellular]	intracellular	0	False	0	False
s_0022	(R)-5-phosphomevalonic acid [intracellular]	intracellular	0	False	0	False
s_0023	(R)-acetoin [intracellular]	intracellular	0	False	0	False
s_0024	(R)-carnitine [intracellular]	intracellular	0	False	0	False
s_0028	(R)-lactate [intracellular]	intracellular	0	False	0	False
s_0031	(R)-mevalonate [intracellular]	intracellular	0	False	0	False
s_0032	(R)-pantoate [intracellular]	intracellular	0	False	0	False
s_0034	(R)-pantothenate [intracellular]	intracellular	0	False	0	False
