abbreviation	name	Charged formula	Charge	compartment	KEGG ID	PubChem ID	ChEBI ID	InChi string
s_0001	(1->3)-beta-D-glucan [cell envelope]		0	Unknown	C00965	 	37671	 
s_0002	(1->3)-beta-D-glucan [cytoplasm]		0	Unknown	C00965	 	37671	 
s_0003	(1->3)-beta-D-glucan [extracellular]		0	Unknown	C00965	 	37671	 
s_0004	(1->6)-beta-D-glucan [cell envelope]		0	Unknown	C02493	 	27380	 
s_0006	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]		0	Unknown	C04807	 	57602	 
s_0007	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [cytoplasm]		0	Unknown	C11514	 	57470	 
s_0008	(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]		0	Unknown	C06007	 	49258	 
s_0009	(2R,3S)-3-isopropylmalate [cytoplasm]		0	Unknown	C04411	 	35121	 
s_0010	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]		0	Unknown	C04236	 	17214	 
s_0011	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]		0	Unknown	C04236	 	17214	 
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [mitochondrion]		0	Unknown	C04593	 	57429	 
s_0013	(5S,6S)-di-HETE [cytoplasm]		0	Unknown	 	 	53026	 
s_0014	(5S,6S)-di-HETE [nucleus]		0	Unknown	 	 	53026	 
s_0015	(N(omega)-L-arginino)succinic acid [cytoplasm]		0	Unknown	C03406	 	57472	 
s_0016	(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]		0	Unknown	C04272	 	49072	 
s_0017	(R)-4'-phosphopantothenic acid [cytoplasm]		0	Unknown	C03492	 	15905	 
s_0018	(R)-5-diphosphomevalonic acid [cytoplasm]		0	Unknown	C01143	 	57557	 
s_0019	(R)-5-phosphomevalonic acid [cytoplasm]		0	Unknown	C01107	 	58146	 
s_0020	(R)-acetoin [cytoplasm]		0	Unknown	C00810	 	15686	 
s_0021	(R)-carnitine [cytoplasm]		0	Unknown	C00318	 	16347	 
s_0022	(R)-carnitine [extracellular]		0	Unknown	C00318	 	16347	 
s_0023	(R)-carnitine [mitochondrion]		0	Unknown	C00318	 	16347	 
s_0024	(R)-carnitine [peroxisome]		0	Unknown	C00318	 	16347	 
s_0025	(R)-lactate [cytoplasm]		0	Unknown	C00256	 	16004	 
s_0026	(R)-lactate [extracellular]		0	Unknown	C00256	 	16004	 
s_0027	(R)-lactate [mitochondrion]		0	Unknown	C00256	 	16004	 
s_0028	(R)-mevalonate [cytoplasm]		0	Unknown	C00418	 	36464	 
s_0029	(R)-mevalonate [extracellular]		0	Unknown	C00418	 	36464	 
s_0030	(R)-pantoate [cytoplasm]		0	Unknown	C00522	 	15980	 
s_0031	(R)-pantothenate [cytoplasm]		0	Unknown	C00864	 	29032	 
s_0032	(R)-pantothenate [extracellular]		0	Unknown	C00864	 	29032	 
s_0033	(R)-S-lactoylglutathione [cytoplasm]		0	Unknown	C03451	 	57474	 
s_0034	(R)-S-lactoylglutathione [mitochondrion]		0	Unknown	C03451	 	57474	 
s_0035	(R,R)-2,3-butanediol [cytoplasm]		0	Unknown	C03044	 	16982	 
s_0036	(R,R)-2,3-butanediol [extracellular]		0	Unknown	C03044	 	16982	 
s_0037	(S)-2,3-epoxysqualene [cytoplasm]		0	Unknown	C01054	 	15441	 
s_0038	(S)-2,3-epoxysqualene [endoplasmic reticulum]		0	Unknown	C01054	 	15441	 
s_0039	(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]		0	Unknown	C06006	 	49256	 
s_0042	(R)-3-hydroxydecanoyl-CoA [peroxisome]		0	Unknown	C05264	 	28325	 
s_0045	(R)-3-hydroxyhexacosanoyl-CoA [peroxisome]		0	Unknown	 	 	52976	 
s_0048	(R)-3-hydroxylauroyl-CoA [peroxisome]		0	Unknown	C05262	 	27668	 
s_0051	(R)-3-hydroxypalmitoyl-CoA [peroxisome]		0	Unknown	C05258	 	27402	 
s_0054	(R)-3-hydroxytetradecanoyl-CoA [peroxisome]		0	Unknown	C05260	 	27466	 
s_0056	(S)-3-methyl-2-oxopentanoate [cytoplasm]		0	Unknown	C00671	 	35146	 
s_0058	(S)-3-methyl-2-oxopentanoate [extracellular]		0	Unknown	C00671	 	35146	 
s_0060	(S)-3-methyl-2-oxopentanoate [mitochondrion]		0	Unknown	C00671	 	35146	 
s_0061	(S)-dihydroorotate [cytoplasm]		0	Unknown	C00337	 	30864	 
s_0062	(S)-lactaldehyde [cytoplasm]		0	Unknown	C00424	 	18041	 
s_0063	(S)-lactate [cytoplasm]		0	Unknown	C00186	 	16651	 
s_0064	(S)-lactate [extracellular]		0	Unknown	C00186	 	16651	 
s_0065	(S)-lactate [mitochondrion]		0	Unknown	C00186	 	16651	 
s_0066	(S)-malate [cytoplasm]		0	Unknown	C00149	 	15589	 
s_0067	(S)-malate [extracellular]		0	Unknown	C00149	 	15589	 
s_0068	(S)-malate [mitochondrion]		0	Unknown	C00149	 	15589	 
s_0069	(S)-malate [peroxisome]		0	Unknown	C00149	 	15589	 
s_0075	1,3-bisphospho-D-glycerate [cytoplasm]		0	Unknown	C00236	 	57604	 
s_0076	1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm]		0	Unknown	C01302	 	58613	 
s_0077	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]		0	Unknown	C04896	 	58435	 
s_0078	1-(5-phosphoribosyl)-5'-AMP [cytoplasm]		0	Unknown	C02741	 	59457	 
s_0079	1-(sn-glycero-3-phospho)-1D-myo-inositol [cytoplasm]		0	Unknown	C01225	 	58444	 
s_0080	1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]		0	Unknown	C01225	 	58444	 
s_0084	1-acylglycerophosphocholine [extracellular]		0	Unknown	C04230	 	11230	 
s_0086	1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm]		0	Unknown	C03506	 	60820	 
s_0087	1-methylnicotinamide [cytoplasm]		0	Unknown	C02918	 	16797	 
s_0089	1-phosphatidyl-1D-myo-inositol [cytoplasm]		0	Unknown	C01194	 	57880	 
s_0116	1-pyrroline-3-hydroxy-5-carboxylic acid [cytoplasm]		0	Unknown	C04281	 	58509	 
s_0117	1-pyrroline-3-hydroxy-5-carboxylic acid [mitochondrion]		0	Unknown	C04281	 	58509	 
s_0118	1-pyrroline-5-carboxylate [cytoplasm]		0	Unknown	C04322	 	15893	 
s_0119	1-pyrroline-5-carboxylate [mitochondrion]		0	Unknown	C04322	 	15893	 
s_0120	10-formyl-THF [cytoplasm]		0	Unknown	C00234	 	57454	 
s_0121	10-formyl-THF [mitochondrion]		0	Unknown	C00234	 	57454	 
