	abbreviation	name	equation	rule	Genes	Proteins	subsystem	reversible	lowbnd	uppbnd	obj_coef	Confidence.Score	EC.Number	Notes	References
1	r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	s_0025 + (2) s_0709  <=> (2) s_0710 + s_1399	((YEL039C AND YEL071W) OR (YJR048W AND YEL071W) OR (YDL174C AND YEL039C) OR (YDL174C AND YJR048W))	YDL174C YEL039C YEL071W YJR048W	NA	NA	1	0	1000	0	NA		NA	
2	r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	s_0027 + (2) s_0709  <=> (2) s_0710 + s_1401	((YDL178W AND YEL039C) OR (YDL178W AND YJR048W))	YDL178W YEL039C YJR048W	NA	NA	1	0	1000	0	NA		NA	
3	r_0003	(R,R)-butanediol dehydrogenase	s_0035 + s_1198  <=> s_0020 + s_0794 + s_1203	YAL060W	YAL060W	NA	NA	1	-1000	1000	0	NA		NA	
4	r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	s_0063 + (2) s_0709  <=> (2) s_0710 + s_1399	((YML054C AND YEL039C) OR (YML054C AND YJR048W))	YEL039C YJR048W YML054C	NA	NA	1	0	1000	0	NA		NA	
5	r_0005	1,3-beta-glucan synthase	s_1543  <=> s_0001 + s_0794 + s_1538	((YGR032W or YLR342W) and (YCR034W or YLR372W))	YGR032W YLR342W YCR034W YLR372W	NA	NA	1	0	1000	0	NA		NA	9211877
6	r_0006	1,6-beta-glucan synthase	s_1543  <=> s_0004 + s_0794 + s_1538	(YGR143W OR YPR159W)	YGR143W YPR159W	NA	NA	1	0	1000	0	NA		NA	
7	r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	s_0077  <=> s_0312	YIL020C	YIL020C	NA	NA	1	0	1000	0	NA		NA	
8	r_0012	1-pyrroline-5-carboxylate dehydrogenase	s_0119 + (2) s_0807 + s_1200  <=> s_0799 + s_0993 + s_1205	YHR037W	YHR037W	NA	NA	1	-1000	1000	0	NA		NA	
9	r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	s_0311 + (3) s_0803  <=> s_0294 + s_0722 + (6) s_0794 + s_1322	(YMR009W AND YEL038W)	YEL038W YMR009W	NA	NA	1	0	1000	0	NA		NA	
10	r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	s_0142 + s_0794 + s_0803  <=> s_0313 + s_0419	YOL066C	YOL066C	NA	NA	1	0	1000	0	NA		NA	
11	r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	s_0141 + s_0794 + s_1212  <=> s_0142 + s_1207	YBR153W	YBR153W	NA	NA	1	0	1000	0	NA		NA	
12	r_0016	2-aceto-2-hydroxybutanoate synthase	s_0179 + s_0799 + s_1401  <=> s_0039 + s_0460	(YMR108W OR (YCL009C AND YMR108W))	YCL009C YMR108W	NA	NA	1	0	1000	0	NA		NA	
13	r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	s_0148 + s_0437  <=> s_0006 + s_0424 + s_0799	YNL256W	YNL256W	NA	NA	1	0	1000	0	NA		NA	
14	r_0018	2-aminoadipate transaminase	s_0176 + s_0991  <=> s_0180 + s_0953	(YER152C OR YGL202W OR YJL060W)	YER152C YGL202W YJL060W	NA	NA	1	-1000	1000	0	NA		NA	
15	r_0019	2-dehydropantoate 2-reductase	s_0149 + s_0794 + s_1212  <=> s_0030 + s_1207	YHR063C	YHR063C	NA	NA	1	0	1000	0	NA		NA	
16	r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0552 + s_0807 + s_1361  <=> s_0350 + s_1326	(YDR035W OR YBR249C)	YDR035W YBR249C	NA	NA	1	0	1000	0	NA		NA	22842922
17	r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	s_0155 + s_1419  <=> s_0156 + s_0799 + s_1415	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C	NA	NA	1	0	1000	0	NA		NA	
18	r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	s_0157 + s_1278  <=> s_0155 + s_0807	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C	NA	NA	1	0	1000	0	NA		NA	
19	r_0023	2-isopropylmalate hydratase	s_0165 + s_0803  <=> s_0162	YGL009C	YGL009C	NA	NA	1	-1000	1000	0	NA		NA	
20	r_0024	2-isopropylmalate synthase	s_0232 + s_0373 + s_0803  <=> s_0162 + s_0529 + s_0794	(YOR108W OR YNL104C)	YNL104C YOR108W	NA	NA	1	0	1000	0	NA		NA	
21	r_0025	2-isopropylmalate synthase	s_0233 + s_0376 + s_0807  <=> s_0164 + s_0532 + s_0799	YNL104C	YNL104C	NA	NA	1	0	1000	0	NA		NA	
22	r_0026	2-keto-4-methylthiobutyrate transamination	s_0294 + s_0991  <=> s_0180 + s_1029	(YHR208W OR YJR148W OR YGL202W OR YHR137W)	YHR208W YJR148W YGL202W YHR137W	NA	NA	1	0	1000	0	NA		NA	21734149
23	r_0027	2-methylcitrate dehydratase	s_0834  <=> s_0454 + s_0807	YDR234W	YDR234W	NA	NA	1	-1000	1000	0	NA		NA	
24	r_0028	2-methylcitrate synthase	s_0807 + s_1273 + s_1382  <=> s_0174 + s_0532 + s_0799	YPR001W	YPR001W	NA	NA	1	0	1000	0	NA		NA	
25	r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	s_0010 + s_0794  <=> s_0291 + s_0456	YJR148W	YJR148W	NA	NA	1	0	1000	0	NA		NA	
26	r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	s_0011 + s_0799  <=> s_0292 + s_0460	YHR208W	YHR208W	NA	NA	1	0	1000	0	NA		NA	
27	r_0032	3',5'-bisphosphate nucleotidase	s_0390 + s_0803  <=> s_0423 + s_1322	YOL064C	YOL064C	NA	NA	1	0	1000	0	NA		NA	
28	r_0033	3',5'-cyclic-nucleotide phosphodiesterase	s_0192 + s_0803  <=> s_0423 + s_0794	(YGL248W OR YOR360C)	YGL248W YOR360C	NA	NA	1	0	1000	0	NA		NA	
29	r_0034	3',5'-cyclic-nucleotide phosphodiesterase	s_0194 + s_0803  <=> s_0584 + s_0794	YOR360C	YOR360C	NA	NA	1	0	1000	0	NA		NA	
30	r_0035	3',5'-cyclic-nucleotide phosphodiesterase	s_0196 + s_0803  <=> s_0794 + s_0849	YOR360C	YOR360C	NA	NA	1	0	1000	0	NA		NA	
31	r_0036	3',5'-cyclic-nucleotide phosphodiesterase	s_0195 + s_0803  <=> s_0782 + s_0794	YOR360C	YOR360C	NA	NA	1	0	1000	0	NA		NA	
32	r_0037	3',5'-cyclic-nucleotide phosphodiesterase	s_0193 + s_0803  <=> s_0526 + s_0794	YOR360C	YOR360C	NA	NA	1	0	1000	0	NA		NA	
